Fantome;Source (MeV);Angle (degres);Pastille 1;Pastille 2;Pastille 3;Pastille 4;Pastille 5;Pastille 6;Moyenne r‚elle (barns);Ecart type r‚el
ELIPSOIDE4;SILENEPb4m;240;0,00E+00;3,36E-03;9,25E-01;9,99E-01;1,00E+00;5,69E-01;4,52E-08;3,33E-08
ELIPSOIDE3;SILENENU05m;360;9,89E-01;8,25E-01;0,00E+00;2,79E-03;8,12E-01;1,00E+00;2,08E-07;1,39E-07
ELIPSOIDE2;SILENENU05m;30;1,00E+00;9,34E-01;4,86E-02;0,00E+00;3,49E-01;9,59E-01;1,96E-07;1,42E-07
ELIPSOIDE4;CALIBAN3m;225;0,00E+00;4,02E-02;9,50E-01;1,00E+00;9,82E-01;4,55E-02;1,98E-07;1,83E-07
ELIPSOIDE1;SILENEPb4m;345;1,00E+00;8,94E-01;0,00E+00;3,50E-02;9,13E-01;9,66E-01;5,29E-08;3,17E-08
ELIPSOIDE4;SILENENU4m;165;8,98E-03;9,56E-01;1,00E+00;9,88E-01;7,26E-01;0,00E+00;1,06E-07;7,42E-08
CYLINDRIQUE;CALIBAN025m;360;1,00E+00;7,95E-01;0,00E+00;3,66E-03;8,27E-01;1,00E+00;3,14E-07;2,05E-07
ELIPSOIDE2;CALIBAN025m;255;4,20E-02;0,00E+00;8,53E-01;9,79E-01;1,00E+00;8,82E-01;3,20E-07;2,10E-07
ELIPSOIDE2;SILENENU4m;255;3,80E-02;0,00E+00;8,71E-01;9,88E-01;1,00E+00;8,83E-01;1,07E-07;7,15E-08
ELIPSOIDE1;CALIBAN025m;225;0,00E+00;1,46E-01;9,43E-01;9,82E-01;1,00E+00;1,61E-01;2,92E-07;2,03E-07
ELIPSOIDE1;CALIBAN3m;135;1,48E-01;9,56E-01;9,90E-01;1,00E+00;1,48E-01;0,00E+00;2,22E-07;1,58E-07
ELIPSOIDE2;CALIBAN3m;120;7,57E-01;9,88E-01;1,00E+00;9,32E-01;1,77E-02;0,00E+00;2,41E-07;1,59E-07
CYLINDRIQUE;CALIBAN3m;330;9,96E-01;1,24E-01;0,00E+00;1,14E-01;9,77E-01;1,00E+00;2,16E-07;1,72E-07
ELIPSOIDE1;SILENENU4m;240;0,00E+00;2,85E-02;8,61E-01;1,00E+00;9,77E-01;8,12E-01;1,10E-07;6,84E-08
