Fantome;Source (MeV);Angle (degres);Pastille 1;Pastille 2;Pastille 3;Pastille 4;Pastille 5;Pastille 6;Moyenne reelle (barns);Ecart type reel
M1E;SILENENU05m;15;2,29E-01;0,00E+00;3,51E-02;9,78E-01;4,65E-01;1,00E+00;1,57E-07;1,34E-07
M1E;CALIBAN3m;345;4,76E-03;0,00E+00;1,00E+00;9,63E-01;5,13E-01;9,68E-01;2,24E-07;1,61E-07
M1E;CALIBAN025m;135;9,46E-01;1,00E+00;2,11E-01;0,00E+00;2,59E-02;9,22E-01;2,86E-07;2,25E-07
M1C;SILENENU05m;60;9,75E-01;8,06E-01;0,00E+00;2,46E-01;9,82E-01;1,00E+00;2,35E-07;1,23E-07
M1C;SILENEPb4m;105;1,00E+00;9,29E-01;7,17E-02;0,00E+00;9,89E-01;9,90E-01;5,43E-08;3,15E-08
M1A;CALIBAN025m;105;1,00E+00;9,34E-01;9,75E-02;0,00E+00;9,76E-01;9,65E-01;3,71E-07;1,81E-07
M1E;SILENENU05m;285;0,00E+00;9,44E-01;9,99E-01;1,00E+00;9,39E-01;7,71E-02;2,31E-07;1,41E-07
M1E;SILENEPb4m;120;9,80E-01;1,00E+00;1,03E-01;0,00E+00;1,57E-01;9,84E-01;4,31E-08;3,43E-08
M1E;CALIBAN025m;60;9,76E-01;3,94E-01;0,00E+00;1,83E-01;1,00E+00;9,94E-01;3,12E-07;2,03E-07
M1C;CALIBAN3m;150;9,98E-01;1,00E+00;8,57E-01;0,00E+00;2,06E-02;8,15E-01;2,47E-07;1,55E-07
M1A;SILENEPb4m;285;0,00E+00;9,27E-01;9,83E-01;1,00E+00;9,64E-01;9,98E-02;5,61E-08;2,85E-08
M1E;CALIBAN3m;165;9,94E-01;3,38E-01;1,00E+00;2,06E-02;0,00E+00;1,90E-01;1,69E-07;1,55E-07
M1C;CALIBAN3m;60;9,88E-01;8,07E-01;0,00E+00;2,55E-01;9,76E-01;1,00E+00;2,69E-07;1,39E-07
M1E;SILENENU05m;300;0,00E+00;3,02E-01;9,96E-01;9,88E-01;1,00E+00;7,55E-01;2,34E-07;1,27E-07
M1A;SILENENU05m;240;2,75E-01;1,00E+00;9,90E-01;9,35E-01;8,08E-01;0,00E+00;2,44E-07;1,16E-07
M1E;SILENENU05m;210;3,63E-01;9,97E-01;9,91E-01;1,00E+00;6,08E-02;0,00E+00;1,96E-07;1,44E-07
M1A;CALIBAN025m;75;9,85E-01;9,67E-01;0,00E+00;1,64E-01;9,64E-01;1,00E+00;3,70E-07;1,79E-07
M1C;SILENENU05m;330;0,00E+00;1,02E-01;8,21E-01;1,00E+00;4,36E-01;3,15E-01;1,60E-07;1,15E-07
M1C;SILENENU4m;330;0,00E+00;9,59E-02;8,11E-01;1,00E+00;4,25E-01;3,22E-01;8,04E-08;5,82E-08
M1C;Flattop;45;9,62E-01;2,07E-01;0,00E+00;9,21E-01;1,00E+00;9,86E-01;1,72E-08;9,23E-09
M1A;SILENEPb4m;150;1,00E+00;9,99E-01;7,80E-01;0,00E+00;4,25E-02;7,79E-01;4,89E-08;2,98E-08
M1E;SILENEPb4m;300;0,00E+00;2,84E-01;9,91E-01;9,91E-01;1,00E+00;7,48E-01;5,36E-08;2,96E-08
M1A;CALIBAN025m;30;7,88E-01;2,89E-02;0,00E+00;8,30E-01;1,00E+00;9,91E-01;3,35E-07;1,91E-07
M1C;Flattop;360;9,46E-02;0,00E+00;7,30E-01;1,00E+00;7,42E-01;1,00E+00;1,45E-08;9,32E-09
M1C;CALIBAN025m;195;9,61E-01;6,40E-01;1,00E+00;9,75E-01;1,62E-03;0,00E+00;3,18E-07;2,14E-07
