Angle reel (degres);Pastille 1;Pastille 2;Pastille 3;Pastille 4;Pastille 5;Pastille 6;Moyenne reelle;Ecart type reel (degres);;
240;0,00E+00;3,36E-03;9,25E-01;9,99E-01;1,00E+00;5,69E-01;4,52E-08;3,33E-08;;
180;3,44E-03;1,00E+00;9,57E-01;9,58E-01;9,81E-01;0,00E+00;1,43E-06;6,19E-07;;
360;9,89E-01;8,25E-01;0,00E+00;2,79E-03;8,12E-01;1,00E+00;2,08E-07;1,39E-07;;
195;0,00E+00;1,00E+00;9,70E-01;9,83E-01;9,75E-01;5,85E-02;2,18E-06;1,16E-06;;
120;9,08E-01;9,41E-01;9,67E-01;1,00E+00;5,74E-02;0,00E+00;2,23E-06;1,11E-06;;
30;1,00E+00;9,34E-01;4,86E-02;0,00E+00;3,49E-01;9,59E-01;1,96E-07;1,42E-07;;
255;5,84E-02;0,00E+00;1,00E+00;9,62E-01;8,86E-01;9,72E-01;1,35E-06;8,41E-07;;
60;8,46E-01;8,15E-01;8,63E-01;0,00E+00;4,64E-02;1,00E+00;6,89E-07;3,35E-07;;
135;1,48E-01;9,94E-01;9,98E-01;1,00E+00;1,44E-01;0,00E+00;1,60E-06;1,18E-06;;
345;6,62E-01;1,00E+00;0,00E+00;7,13E-02;8,39E-01;6,10E-01;8,07E-07;2,19E-07;;
225;0,00E+00;8,79E-02;9,29E-01;9,51E-01;1,00E+00;6,28E-01;1,92E-06;1,13E-06;;
225;0,00E+00;4,02E-02;9,50E-01;1,00E+00;9,82E-01;4,55E-02;1,98E-07;1,83E-07;;
180;3,25E-03;1,00E+00;9,24E-01;9,48E-01;9,08E-01;0,00E+00;1,46E-06;5,25E-07;;
120;6,32E-01;1,00E+00;9,94E-01;9,32E-01;6,86E-03;0,00E+00;1,48E-06;1,07E-06;;
150;1,54E-01;9,58E-01;9,69E-01;1,00E+00;6,29E-01;0,00E+00;2,14E-06;9,88E-07;;
345;1,00E+00;8,94E-01;0,00E+00;3,50E-02;9,13E-01;9,66E-01;5,29E-08;3,17E-08;;
165;8,98E-03;9,56E-01;1,00E+00;9,88E-01;7,26E-01;0,00E+00;1,06E-07;7,42E-08;;
360;1,00E+00;7,95E-01;0,00E+00;3,66E-03;8,27E-01;1,00E+00;3,14E-07;2,05E-07;;
60;8,25E-01;7,62E-01;9,95E-01;0,00E+00;7,52E-02;1,00E+00;7,41E-07;2,81E-07;;
255;4,20E-02;0,00E+00;8,53E-01;9,79E-01;1,00E+00;8,82E-01;3,20E-07;2,10E-07;;
165;1,42E-02;9,47E-01;9,93E-01;1,00E+00;8,75E-01;0,00E+00;7,57E-07;5,13E-07;;
345;1,00E+00;7,05E-01;0,00E+00;6,05E-02;9,35E-01;9,72E-01;1,59E-06;1,03E-06;;
45;1,00E+00;9,83E-01;2,01E-01;0,00E+00;1,84E-01;9,71E-01;1,75E-06;1,14E-06;;
300;1,00E+00;2,16E-02;0,00E+00;8,12E-01;9,94E-01;1,00E+00;1,31E-06;8,50E-07;;
255;3,80E-02;0,00E+00;8,71E-01;9,88E-01;1,00E+00;8,83E-01;1,07E-07;7,15E-08;;
225;0,00E+00;1,46E-01;9,43E-01;9,82E-01;1,00E+00;1,61E-01;2,92E-07;2,03E-07;;
15;9,49E-01;1,00E+00;2,84E-02;0,00E+00;8,38E-01;9,62E-01;1,94E-06;1,27E-06;;
255;1,39E-02;0,00E+00;9,04E-01;9,85E-01;1,00E+00;9,12E-01;1,82E-06;1,26E-06;;
135;1,48E-01;9,56E-01;9,90E-01;1,00E+00;1,48E-01;0,00E+00;2,22E-07;1,58E-07;;
15;8,70E-01;1,00E+00;4,75E-02;0,00E+00;9,09E-01;9,08E-01;1,39E-06;7,44E-07;;
120;7,57E-01;9,88E-01;1,00E+00;9,32E-01;1,77E-02;0,00E+00;2,41E-07;1,59E-07;;
345;9,74E-01;9,50E-01;0,00E+00;2,30E-02;9,20E-01;1,00E+00;7,72E-07;4,95E-07;;
330;9,96E-01;1,24E-01;0,00E+00;1,14E-01;9,77E-01;1,00E+00;2,16E-07;1,72E-07;;
165;3,58E-02;9,65E-01;9,75E-01;1,00E+00;9,06E-01;0,00E+00;1,94E-06;1,16E-06;;
315;9,99E-01;8,03E-02;0,00E+00;8,82E-02;1,00E+00;1,00E+00;1,08E-06;9,30E-07;;
240;0,00E+00;2,85E-02;8,61E-01;1,00E+00;9,77E-01;8,12E-01;1,10E-07;6,84E-08;;
330;1,00E+00;3,86E-01;0,00E+00;9,10E-02;9,60E-01;9,95E-01;1,77E-06;1,17E-06;;
60;9,85E-01;1,00E+00;7,21E-01;0,00E+00;1,28E-02;9,43E-01;3,15E-07;2,16E-07;;
360;8,77E-01;9,03E-01;0,00E+00;8,65E-03;1,00E+00;9,20E-01;1,53E-06;4,24E-07;;
210;0,00E+00;1,31E-01;9,67E-01;1,00E+00;9,98E-01;1,29E-01;2,88E-07;2,27E-07;;
180;3,12E-03;9,00E-01;1,00E+00;9,85E-01;8,33E-01;0,00E+00;2,07E-06;9,63E-07;;
195;0,00E+00;9,44E-01;9,91E-01;1,00E+00;9,78E-01;5,20E-02;2,00E-06;1,07E-06;;
